City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Atuona,PF,77.45,scattered clouds,-9.8,-139.0333,Villa Enata
3,Saint-Philippe,RE,67.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
4,Samarai,PG,80.17,light rain,-10.6167,150.6667,Nuli Sapi
5,Yeppoon,AU,74.98,few clouds,-23.1333,150.7333,Villa Mar Colina
7,Puerto Ayora,EC,71.42,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
8,Hilo,US,77.25,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
11,Chifeng,CN,70.93,light rain,42.2683,118.9636,Junyu Tiancheng Hotel
12,Rikitea,PF,73.56,light rain,-23.1203,-134.9692,People ThankYou
13,Jamestown,US,68.29,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
18,Avarua,CK,68.05,moderate rain,-21.2078,-159.775,Paradise Inn
20,Mbuji-Mayi,CD,70.05,clear sky,-6.15,23.6,GKT Hotel
21,Pirgos,GR,80.94,clear sky,35.1167,25.7178,Daios Cove
25,Tocopilla,CL,64.83,broken clouds,-22.092,-70.1979,Hotel Galvarino
28,Almeirim,BR,79.27,overcast clouds,-1.5233,-52.5817,Ricácio Hotel
29,Souillac,MU,71.37,overcast clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
30,Port Hardy,CA,64.65,broken clouds,50.6996,-127.4199,Airport Inn
31,Nikolskoye,RU,66.09,broken clouds,59.7035,30.7861,Tourist House - Sablino
32,Isangel,VU,76.68,few clouds,-19.55,169.2667,Tanna Lodge
33,Mangrol,IN,82.06,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
35,Sistranda,NO,64.36,overcast clouds,63.7256,8.834,Hotell Frøya
38,Ahuimanu,US,81.79,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
39,Yellowknife,CA,66.29,scattered clouds,62.456,-114.3525,The Explorer Hotel
43,Watrous,CA,78.55,clear sky,51.6668,-105.4679,Manitou Hotel
